punto,este,norte,elevacion,descrip
395,809936.357,8077781.794,2987.416,p87
396,809933.893,8077773.816,2986.513,p88
397,809934.193,8077771.52,2986.409,p89
398,809934.147,8077769.865,2986.343,p90
399,809931.34,8077762.311,2986.047,p91
400,809930.697,8077759.622,2985.889,p92
401,809931.547,8077756.986,2985.58,p93
402,809931.493,8077755.301,2985.549,p94
403,809930.015,8077749.692,2984.801,p95
404,809931.691,8077745.687,2984.553,p96
405,809928.59,8077734.462,2984.419,p97
406,809928.284,8077728.664,2984.138,p98
407,809929.237,8077720.002,2983.675,p99
408,809929.933,8077701.313,2983.096,p100
409,809929.167,8077691.404,2982.625,p101
410,809928.572,8077685.698,2982.312,p102
411,809930.734,8077678.239,2982.79,p103
412,809930.945,8077674.95,2982.417,p104
413,809929.015,8077668.862,2981.249,p105
414,809928.085,8077662.1,2981.282,p106
415,809929.386,8077657.63,2980.544,p107
416,809933.115,8077650.338,2980.105,p108
417,809954.282,8077621.448,2977.796,p109
418,809958.097,8077615.733,2976.938,p110
419,809981.996,8077604.63,2974.215,p111
420,809987.75,8077602.238,2973.296,p112
421,810004.806,8077605.985,2971.724,p113
422,810017.067,8077613.414,2970.396,p114
423,810026.496,8077623.87,2968.098,p115
424,810035.288,8077634.106,2965.483,p116
425,810044.935,8077640.089,2962.716,p117
426,810059.686,8077646.881,2959.265,p118
427,810068.024,8077650.463,2958.002,p119
428,810074.196,8077653.187,2956.807,p120
429,810079.109,8077658.395,2955.88,p121
430,810079.542,8077656.686,2954.595,p122
431,810078.627,8077649.395,2956.133,p123
432,810085.392,8077667.726,2954.004,p124
433,810094.831,8077678.567,2952.443,p125
434,810096.831,8077678.831,2952.378,p126
435,810099.991,8077675.647,2951.105,p127
436,810104.052,8077667.01,2951.186,p128
437,810106.414,8077660.554,2950.885,p129
438,810110.737,8077654.702,2950.747,p130
439,810118.087,8077623.876,2948.905,p131
440,810137.958,8077623.743,2948.155,p132
441,810148.05,8077626.074,2947.259,p133
442,810164.19,8077633.088,2945.631,p134
443,810166.015,8077621.026,2944.747,p135
444,810170.143,8077615.25,2945.368,p136
445,810166.827,8077600.225,2943.819,p137
446,810168.944,8077590.65,2944.193,p138
447,810172.55,8077561.04,2941.041,p139
448,810185.664,8077542.162,2942.614,p140
449,810213.756,8077520.489,2942.017,p141
450,810241.137,8077521.149,2939.774,p142
451,810241.63,8077514.7,2938.415,p143
452,810243.058,8077496.745,2931.685,p144
453,810243.856,8077489.358,2929.669,p145
454,810243.347,8077480.594,2927.971,p146
455,810241.603,8077467.944,2925.955,p147
456,810241.037,8077461.685,2924.334,p148
457,810238.763,8077438.638,2922.253,p149
458,810240.204,8077433.562,2919.456,p150
459,810239.696,8077426.457,2918.398,p151
460,810238.871,8077410.245,2915.484,p152
461,810245.918,8077421.65,2918.576,p153
462,810270.357,8077409.801,2917.884,p154
463,810302.802,8077395.576,2916.773,p155
464,810308.282,8077392.928,2915.432,p156
465,810320.129,8077379.597,2914.594,p157
466,810350.525,8077329.636,2906.916,p158
467,810356.968,8077322.683,2906.302,p159
468,810382.394,8077253.171,2893.847,p160
469,810351.803,8077271.983,2896.104,p161
470,810348.119,8077255.96,2894.22,p162
471,810346.207,8077240.521,2892.32,p163
472,810343.836,8077203.981,2887.033,p164
473,810334.638,8077283.547,2898.909,p165
474,810327.517,8077284.666,2899.227,p166
475,810278.508,8077312.835,2903.551,p167
476,810264.867,8077321.157,2904.255,p168
477,810244.024,8077334.002,2904.574,p169
478,810244.153,8077339.565,2905.263,p170
479,810238.009,8077343.504,2905.702,p171
480,810243.956,8077330.466,2904.037,p172
481,810245.436,8077325.562,2903.407,p173
482,810246.551,8077315.791,2902.361,p174
483,810247.363,8077311.592,2901.982,p175
